epoch,circuit_counts,avg_sparsities,total_circuits,train_loss,val_loss,l1_lambda,l2_lambda,dropout_rate
1,[0],[0.0],0,0.8884308278560639,0.7438014149665833,0.001,0.0,0.0
2,[0],[0.0],0,0.6993216648697853,0.5588609576225281,0.001,0.0,0.0
3,[0],[0.0],0,0.5167158924043178,0.3956213891506195,0.001,0.0,0.0
4,[0],[0.0],0,0.3716996222734451,0.2854788899421692,0.001,0.0,0.0
5,[0],[0.0],0,0.28332840353250505,0.22967429459095,0.001,0.0,0.0
6,[0],[0.0],0,0.23974446728825569,0.20601432025432587,0.001,0.0,0.0
7,[0],[0.0],0,0.21831949912011622,0.1931181699037552,0.001,0.0,0.0
8,[0],[0.0],0,0.20422869212925435,0.18290382623672485,0.001,0.0,0.0
9,[0],[0.0],0,0.19238003455102443,0.17310437560081482,0.001,0.0,0.0
10,[26],[np.float64(0.1794871794871795)],26,0.18112525828182696,0.16352127492427826,0.001,0.0,0.0
11,[26],[np.float64(0.1794871794871795)],26,0.17164742574095726,0.1565307229757309,0.001,0.0,0.0
12,[26],[np.float64(0.1794871794871795)],26,0.16478354819118976,0.14990535378456116,0.001,0.0,0.0
13,[26],[np.float64(0.1794871794871795)],26,0.15849203169345855,0.14327029883861542,0.001,0.0,0.0
14,[26],[np.float64(0.1794871794871795)],26,0.15246815346181392,0.13707897067070007,0.001,0.0,0.0
15,[26],[np.float64(0.1794871794871795)],26,0.14643147811293603,0.13069307804107666,0.001,0.0,0.0
16,[26],[np.float64(0.1794871794871795)],26,0.14023091066628696,0.12445757538080215,0.001,0.0,0.0
17,[26],[np.float64(0.1794871794871795)],26,0.13396326452493668,0.11830171197652817,0.001,0.0,0.0
18,[26],[np.float64(0.1794871794871795)],26,0.12751903645694257,0.11177460104227066,0.001,0.0,0.0
19,[26],[np.float64(0.1794871794871795)],26,0.12092914618551731,0.10522337257862091,0.001,0.0,0.0
20,[26],[np.float64(0.1794871794871795)],26,0.11406081039458513,0.09870278835296631,0.001,0.0,0.0
21,[26],[np.float64(0.1794871794871795)],26,0.10695955697447061,0.0917871817946434,0.001,0.0,0.0
22,[26],[np.float64(0.1794871794871795)],26,0.09971498660743236,0.08469901233911514,0.001,0.0,0.0
23,[26],[np.float64(0.1794871794871795)],26,0.09135051257908344,0.07488223910331726,0.001,0.0,0.0
24,[26],[np.float64(0.1794871794871795)],26,0.08090124819427728,0.06490426510572433,0.001,0.0,0.0
25,[26],[np.float64(0.1794871794871795)],26,0.07090639555826783,0.055665671825408936,0.001,0.0,0.0
26,[26],[np.float64(0.1794871794871795)],26,0.06144752688705921,0.04704516381025314,0.001,0.0,0.0
27,[26],[np.float64(0.1794871794871795)],26,0.05260857567191124,0.03889463469386101,0.001,0.0,0.0
28,[26],[np.float64(0.1794871794871795)],26,0.04451142176985741,0.0314139723777771,0.001,0.0,0.0
29,[45],[np.float64(0.17777777777777778)],45,0.0372526696883142,0.024816352874040604,0.001,0.0,0.0
30,[45],[np.float64(0.17777777777777778)],45,0.03103487198241055,0.019089894369244576,0.001,0.0,0.0
31,[45],[np.float64(0.17777777777777778)],45,0.025813809130340815,0.014295833185315132,0.001,0.0,0.0
32,[45],[np.float64(0.17777777777777778)],45,0.02155700521543622,0.010450041852891445,0.001,0.0,0.0
33,[45],[np.float64(0.17777777777777778)],45,0.01822023275308311,0.007462306413799524,0.001,0.0,0.0
34,[45],[np.float64(0.17777777777777778)],45,0.01569339360576123,0.005145604256540537,0.001,0.0,0.0
35,[45],[np.float64(0.17777777777777778)],45,0.013813073677010835,0.003482325002551079,0.001,0.0,0.0
36,[45],[np.float64(0.17777777777777778)],45,0.012466549617238342,0.0022878567688167095,0.001,0.0,0.0
37,[45],[np.float64(0.17777777777777778)],45,0.011522783455438912,0.0014688019873574376,0.001,0.0,0.0
38,[45],[np.float64(0.17777777777777778)],45,0.010890355543233454,0.0009237112826667726,0.001,0.0,0.0
39,[45],[np.float64(0.17777777777777778)],45,0.010477206786163151,0.0005719421315006912,0.001,0.0,0.0
40,[45],[np.float64(0.17777777777777778)],45,0.010215486120432615,0.0003485553606878966,0.001,0.0,0.0
41,[45],[np.float64(0.17777777777777778)],45,0.010049245692789555,0.00021242373622953892,0.001,0.0,0.0
42,[45],[np.float64(0.17777777777777778)],45,0.009945336752571166,0.00012983023771084845,0.001,0.0,0.0
