epoch,circuit_counts,avg_sparsities,total_circuits,train_loss,val_loss,l1_lambda,l2_lambda,dropout_rate
1,[0],[0.0],0,0.9902150571346283,0.9644145965576172,0.0,0.0,0.01
2,[0],[0.0],0,0.8913785994052887,0.8785578608512878,0.0,0.0,0.01
3,[0],[0.0],0,0.8224081963300705,0.8192672729492188,0.0,0.0,0.01
4,[0],[0.0],0,0.7661317601799965,0.7638539671897888,0.0,0.0,0.01
5,[0],[0.0],0,0.7141093865036965,0.712157666683197,0.0,0.0,0.01
6,[0],[0.0],0,0.6654333218932151,0.6641737818717957,0.0,0.0,0.01
7,[0],[0.0],0,0.6204508073627949,0.619698703289032,0.0,0.0,0.01
8,[0],[0.0],0,0.5789374016225338,0.5788601636886597,0.0,0.0,0.01
9,[0],[0.0],0,0.5407655499875546,0.5412492156028748,0.0,0.0,0.01
10,[0],[0.0],0,0.5056842200458049,0.5065540671348572,0.0,0.0,0.01
11,[0],[0.0],0,0.47348077073693273,0.47438058257102966,0.0,0.0,0.01
12,[0],[0.0],0,0.444069904088974,0.4453894793987274,0.0,0.0,0.01
13,[0],[0.0],0,0.4173420913517475,0.4187946319580078,0.0,0.0,0.01
14,[0],[0.0],0,0.39319131076335906,0.39443883299827576,0.0,0.0,0.01
15,[0],[0.0],0,0.37112636789679526,0.3726726174354553,0.0,0.0,0.01
16,[0],[0.0],0,0.35155597403645517,0.3532222807407379,0.0,0.0,0.01
17,[0],[0.0],0,0.3339745558798313,0.3356378972530365,0.0,0.0,0.01
18,[0],[0.0],0,0.318523770570755,0.3199950158596039,0.0,0.0,0.01
19,[0],[0.0],0,0.30508244708180426,0.30614668130874634,0.0,0.0,0.01
20,[0],[0.0],0,0.29319350235164165,0.2941744029521942,0.0,0.0,0.01
21,[0],[0.0],0,0.28325819261372087,0.283953994512558,0.0,0.0,0.01
22,[0],[0.0],0,0.2746065206825733,0.2751338481903076,0.0,0.0,0.01
23,[0],[0.0],0,0.2671501874923706,0.26767706871032715,0.0,0.0,0.01
24,[0],[0.0],0,0.2612892534583807,0.2611883580684662,0.0,0.0,0.01
25,[0],[0.0],0,0.25629529282450675,0.2558724880218506,0.0,0.0,0.01
26,[0],[0.0],0,0.251679078489542,0.25152602791786194,0.0,0.0,0.01
27,[0],[0.0],0,0.2484954297542572,0.24754014611244202,0.0,0.0,0.01
28,[0],[0.0],0,0.24621212407946585,0.24421222507953644,0.0,0.0,0.01
29,[0],[0.0],0,0.24316976368427276,0.24128757417201996,0.0,0.0,0.01
30,[0],[0.0],0,0.2407727859914303,0.238647922873497,0.0,0.0,0.01
31,[0],[0.0],0,0.23852063603699208,0.23619849979877472,0.0,0.0,0.01
32,[0],[0.0],0,0.2363288350403309,0.23362529277801514,0.0,0.0,0.01
33,[0],[0.0],0,0.23407828845083714,0.23133431375026703,0.0,0.0,0.01
34,[0],[0.0],0,0.23222750835120679,0.22934260964393616,0.0,0.0,0.01
